name	LeeKA_2022
Acc_LRC	0.63
F1_LRC	0.63
Prec_LRC	0.64
Recall_LRC	0.63
MCC_LRC	0.27
Acc_DTC	0.53
F1_DTC	0.51
Prec_DTC	0.51
Recall_DTC	0.53
MCC_DTC	0.03
Acc_SVC	0.58
F1_SVC	0.58
Prec_SVC	0.58
Recall_SVC	0.58
MCC_SVC	0.16
Acc_RFC	0.53
F1_RFC	0.5
Prec_RFC	0.55
Recall_RFC	0.53
MCC_RFC	0.07
Acc_HDC	0.66
F1_HDC	0.64
Prec_HDC	0.68
Recall_HDC	0.66
MCC_HDC	0.33
