name	DavidLA_2015
Acc_LRC	0.97
F1_LRC	0.97
Prec_LRC	0.98
Recall_LRC	0.97
MCC_LRC	0.95
Acc_DTC	0.84
F1_DTC	0.83
Prec_DTC	0.88
Recall_DTC	0.84
MCC_DTC	0.71
Acc_SVC	0.91
F1_SVC	0.91
Prec_SVC	0.92
Recall_SVC	0.91
MCC_SVC	0.83
Acc_RFC	0.88
F1_RFC	0.87
Prec_RFC	0.89
Recall_RFC	0.88
MCC_RFC	0.77
Acc_HDC	0.96
F1_HDC	0.95
Prec_HDC	0.96
Recall_HDC	0.96
MCC_HDC	0.92
