name	ChengpingW_2017	ChengpingW_2017_2
Acc_LRC	0.65	0.64
F1_LRC	0.64	0.62
Prec_LRC	0.7	0.64
Recall_LRC	0.65	0.64
MCC_LRC	0.36	0.28
Acc_DTC	0.58	0.55
F1_DTC	0.55	0.48
Prec_DTC	0.65	0.51
Recall_DTC	0.58	0.55
MCC_DTC	0.22	0.06
Acc_SVC	0.51	0.55
F1_SVC	0.48	0.52
Prec_SVC	0.56	0.56
Recall_SVC	0.51	0.55
MCC_SVC	0.06	0.1
Acc_RFC	0.65	0.64
F1_RFC	0.65	0.63
Prec_RFC	0.66	0.64
Recall_RFC	0.65	0.64
MCC_RFC	0.31	0.27
Acc_HDC	0.67	0.7
F1_HDC	0.67	0.7
Prec_HDC	0.68	0.71
Recall_HDC	0.67	0.7
MCC_HDC	0.34	0.4
