name	IjazUZ_2017	IjazUZ_2017_2
Acc_LRC	0.9	0.87
F1_LRC	0.9	0.86
Prec_LRC	0.91	0.86
Recall_LRC	0.9	0.87
MCC_LRC	0.79	0.68
Acc_DTC	0.73	0.67
F1_DTC	0.7	0.65
Prec_DTC	0.71	0.67
Recall_DTC	0.73	0.67
MCC_DTC	0.47	0.27
Acc_SVC	0.9	0.83
F1_SVC	0.9	0.82
Prec_SVC	0.93	0.91
Recall_SVC	0.9	0.83
MCC_SVC	0.81	0.75
Acc_RFC	0.87	0.87
F1_RFC	0.87	0.86
Prec_RFC	0.89	0.9
Recall_RFC	0.87	0.87
MCC_RFC	0.73	0.75
Acc_HDC	0.96	0.89
F1_HDC	0.96	0.88
Prec_HDC	0.96	0.91
Recall_HDC	0.96	0.89
MCC_HDC	0.92	0.79
