name	YassourM_2018
Acc_LRC	0.79
F1_LRC	0.78
Prec_LRC	0.82
Recall_LRC	0.79
MCC_LRC	0.6
Acc_DTC	0.67
F1_DTC	0.67
Prec_DTC	0.67
Recall_DTC	0.67
MCC_DTC	0.33
Acc_SVC	0.75
F1_SVC	0.75
Prec_SVC	0.76
Recall_SVC	0.75
MCC_SVC	0.51
Acc_RFC	0.81
F1_RFC	0.81
Prec_RFC	0.83
Recall_RFC	0.81
MCC_RFC	0.63
Acc_HDC	0.82
F1_HDC	0.82
Prec_HDC	0.84
Recall_HDC	0.82
MCC_HDC	0.65
