name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
ShaoY_2019	0.75	0.75	0.76	0.75	0.51	0.72	0.72	0.73	0.72	0.45	0.75	0.75	0.76	0.75	0.51	0.77	0.77	0.77	0.77	0.53	0.76	0.76	0.76	0.76	0.52
BrooksB_2017	0.87	0.87	0.88	0.87	0.70	0.82	0.81	0.83	0.82	0.57	0.81	0.81	0.81	0.81	0.56	0.85	0.85	0.86	0.85	0.66	0.80	0.78	0.81	0.80	0.51
BrooksB_2017	0.87	0.87	0.87	0.87	0.70	0.80	0.79	0.83	0.80	0.55	0.80	0.80	0.80	0.80	0.54	0.86	0.86	0.88	0.86	0.70	0.82	0.81	0.83	0.82	0.58
