name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
LiJ_2014	0.72	0.72	0.74	0.72	0.46	0.67	0.67	0.67	0.67	0.34	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.79	0.77	0.57	0.77	0.77	0.77	0.77	0.54
HMP_2019_ibdmdb	0.84	0.84	0.84	0.84	0.66	0.78	0.78	0.78	0.78	0.54	0.77	0.77	0.78	0.77	0.53	0.89	0.89	0.89	0.89	0.77	0.77	0.77	0.78	0.77	0.54
HallAB_2017	0.95	0.95	0.95	0.95	0.89	0.83	0.83	0.84	0.83	0.67	0.81	0.81	0.83	0.81	0.64	0.95	0.95	0.96	0.95	0.91	0.92	0.92	0.92	0.92	0.85
