name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
LiJ_2014	0.72	0.72	0.74	0.72	0.46	0.67	0.67	0.67	0.67	0.34	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.79	0.77	0.57	0.77	0.77	0.77	0.77	0.54
ZhuF_2020	0.72	0.72	0.76	0.72	0.48	0.55	0.39	0.30	0.55	0.00	0.68	0.66	0.71	0.68	0.37	0.55	0.54	0.55	0.55	0.08	0.79	0.78	0.80	0.79	0.58
ThomasAM_2018a	0.70	0.69	0.73	0.70	0.43	0.59	0.58	0.63	0.59	0.23	0.72	0.71	0.76	0.72	0.48	0.62	0.58	0.72	0.62	0.32	0.75	0.74	0.77	0.75	0.52
HMP_2019_ibdmdb	0.84	0.84	0.84	0.84	0.66	0.78	0.78	0.78	0.78	0.54	0.77	0.77	0.78	0.77	0.53	0.89	0.89	0.89	0.89	0.77	0.77	0.77	0.78	0.77	0.54
HallAB_2017	0.95	0.95	0.95	0.95	0.89	0.83	0.83	0.84	0.83	0.67	0.81	0.81	0.83	0.81	0.64	0.95	0.95	0.96	0.95	0.91	0.92	0.92	0.92	0.92	0.85
KosticAD_2015	0.72	0.71	0.74	0.72	0.46	0.66	0.66	0.67	0.66	0.33	0.64	0.61	0.69	0.64	0.33	0.87	0.87	0.89	0.87	0.76	0.81	0.81	0.82	0.81	0.63
HallAB_2017	0.84	0.84	0.84	0.84	0.68	0.84	0.84	0.86	0.84	0.70	0.85	0.84	0.85	0.85	0.69	0.95	0.95	0.96	0.95	0.91	0.89	0.89	0.90	0.89	0.79
HMP_2019_ibdmdb	0.80	0.80	0.80	0.80	0.59	0.78	0.78	0.78	0.78	0.55	0.78	0.78	0.78	0.78	0.54	0.90	0.89	0.90	0.90	0.78	0.75	0.75	0.76	0.75	0.51
FengQ_2015	0.52	0.51	0.56	0.52	0.08	0.62	0.59	0.67	0.62	0.27	0.54	0.53	0.55	0.54	0.09	0.74	0.73	0.79	0.74	0.53	0.74	0.74	0.76	0.74	0.50
