name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
TettAJ_2016	0.75	0.69	0.76	0.75	0.39	0.65	0.52	0.43	0.65	0.00	0.71	0.68	0.74	0.71	0.34	0.75	0.76	0.78	0.75	0.51	0.75	0.74	0.75	0.75	0.43
KieserS_2018	0.90	0.90	0.97	0.90	0.87	0.93	0.91	0.89	0.93	0.80	0.83	0.79	0.78	0.83	0.52	0.93	0.91	0.89	0.93	0.80	0.97	0.96	0.97	0.97	0.93
GuptaA_2019	0.88	0.88	0.91	0.88	0.76	0.79	0.77	0.83	0.79	0.53	0.79	0.79	0.79	0.79	0.51	0.86	0.85	0.91	0.86	0.72	0.90	0.89	0.91	0.90	0.78
HallAB_2017	0.93	0.93	0.93	0.93	0.84	0.89	0.89	0.90	0.89	0.78	0.90	0.90	0.91	0.90	0.78	0.96	0.96	0.96	0.96	0.90	0.95	0.95	0.95	0.95	0.88
PehrssonE_2016	0.96	0.96	0.96	0.96	0.91	0.96	0.96	0.97	0.96	0.92	0.95	0.95	0.95	0.95	0.90	0.99	0.98	0.99	0.99	0.97	0.97	0.97	0.97	0.97	0.95
HallAB_2017	0.94	0.94	0.94	0.94	0.87	0.88	0.88	0.89	0.88	0.75	0.91	0.91	0.92	0.91	0.81	0.96	0.96	0.96	0.96	0.90	0.96	0.96	0.96	0.96	0.91
DhakanDB_2019	0.70	0.69	0.74	0.70	0.44	0.72	0.72	0.74	0.72	0.46	0.69	0.68	0.70	0.69	0.38	0.73	0.72	0.74	0.73	0.47	0.69	0.69	0.70	0.69	0.40
PehrssonE_2016	0.96	0.96	0.97	0.96	0.93	0.98	0.98	0.99	0.98	0.97	0.98	0.98	0.98	0.98	0.95	0.97	0.97	0.97	0.97	0.94	0.98	0.98	0.98	0.98	0.97
KieserS_2018	0.90	0.90	0.97	0.90	0.87	0.93	0.91	0.89	0.93	0.80	0.83	0.79	0.78	0.83	0.52	0.93	0.91	0.89	0.93	0.80	0.89	0.89	0.93	0.89	0.79
