name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
HallAB_2017	0.93	0.93	0.93	0.93	0.84	0.89	0.89	0.90	0.89	0.78	0.90	0.90	0.91	0.90	0.78	0.96	0.96	0.96	0.96	0.90	0.95	0.95	0.95	0.95	0.88
HallAB_2017	0.94	0.94	0.94	0.94	0.87	0.88	0.88	0.89	0.88	0.75	0.91	0.91	0.92	0.91	0.81	0.96	0.96	0.96	0.96	0.90	0.96	0.96	0.96	0.96	0.91
