name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
CosteaPI_2017_A	0.92	0.92	0.92	0.92	0.83	0.84	0.84	0.85	0.84	0.67	0.91	0.91	0.92	0.91	0.82	0.89	0.89	0.90	0.89	0.78	0.94	0.94	0.94	0.94	0.87
NielsenHB_2014	0.87	0.87	0.88	0.87	0.75	0.79	0.79	0.79	0.79	0.57	0.85	0.85	0.86	0.85	0.70	0.88	0.89	0.89	0.88	0.77	0.90	0.90	0.91	0.90	0.81
CosteaPI_2017_B	0.93	0.93	0.94	0.93	0.86	0.83	0.83	0.84	0.83	0.66	0.93	0.93	0.93	0.93	0.86	0.89	0.89	0.90	0.89	0.78	0.95	0.95	0.95	0.95	0.90
PehrssonE_2016_A	0.96	0.96	0.97	0.96	0.93	0.96	0.96	0.97	0.96	0.92	0.95	0.95	0.95	0.95	0.90	0.99	0.98	0.99	0.99	0.97	0.97	0.97	0.97	0.97	0.95
PehrssonE_2016_B	0.96	0.96	0.96	0.96	0.91	0.98	0.98	0.99	0.98	0.97	0.98	0.98	0.98	0.98	0.95	0.99	0.98	0.99	0.99	0.97	0.99	0.99	0.99	0.99	0.98
