name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
WirbelJ_2018	0.59	0.58	0.60	0.59	0.18	0.59	0.43	0.34	0.59	0.00	0.70	0.67	0.72	0.70	0.37	0.59	0.43	0.34	0.59	0.00	0.70	0.70	0.71	0.70	0.40
HMP_2019_ibdmdb_A	0.86	0.86	0.86	0.86	0.72	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.77	0.77	0.54	0.84	0.84	0.84	0.84	0.68	0.74	0.74	0.74	0.74	0.48
ZhuF_2020	0.59	0.59	0.59	0.59	0.18	0.65	0.65	0.66	0.65	0.31	0.56	0.56	0.57	0.56	0.14	0.71	0.70	0.72	0.71	0.42	0.66	0.65	0.67	0.66	0.32
VilaAV_2018	0.63	0.62	0.62	0.63	0.17	0.64	0.50	0.41	0.64	0.00	0.65	0.53	0.57	0.65	0.06	0.64	0.50	0.41	0.64	0.00	0.63	0.52	0.50	0.63	0.01
KeohaneDM_2020	0.65	0.64	0.68	0.65	0.32	0.56	0.54	0.55	0.56	0.09	0.58	0.54	0.61	0.58	0.15	0.62	0.61	0.64	0.62	0.25	0.74	0.74	0.75	0.74	0.49
RubelMA_2020_B	0.71	0.70	0.72	0.71	0.42	0.62	0.61	0.62	0.62	0.22	0.63	0.62	0.65	0.63	0.26	0.66	0.66	0.67	0.66	0.32	0.61	0.61	0.61	0.61	0.21
CosteaPI_2017_B	0.70	0.70	0.70	0.70	0.39	0.60	0.59	0.60	0.60	0.18	0.66	0.66	0.68	0.66	0.33	0.67	0.67	0.68	0.67	0.33	0.63	0.63	0.64	0.63	0.26
HMP_2019_ibdmdb_B	0.86	0.86	0.86	0.86	0.71	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.77	0.77	0.54	0.85	0.85	0.85	0.85	0.70	0.75	0.75	0.75	0.75	0.50
OhJ_2014_B	0.77	0.76	0.78	0.77	0.53	0.77	0.76	0.78	0.77	0.53	0.81	0.81	0.84	0.81	0.65	0.88	0.88	0.88	0.88	0.75
QinN_2014	0.65	0.65	0.65	0.65	0.22	0.66	0.53	0.44	0.66	0.00	0.68	0.63	0.67	0.68	0.21	0.66	0.53	0.44	0.66	0.00	0.65	0.66	0.67	0.65	0.27
PehrssonE_2016_A	0.61	0.61	0.62	0.61	0.23	0.64	0.62	0.71	0.64	0.34	0.59	0.58	0.59	0.59	0.18	0.67	0.67	0.68	0.67	0.36	0.61	0.61	0.61	0.61	0.22
PehrssonE_2016_B	0.62	0.61	0.64	0.62	0.26	0.63	0.61	0.70	0.63	0.33	0.53	0.48	0.53	0.53	0.05	0.66	0.65	0.66	0.66	0.32	0.62	0.62	0.62	0.62	0.24
YachidaS_2019	0.65	0.65	0.65	0.65	0.28	0.60	0.58	0.59	0.60	0.15	0.68	0.67	0.68	0.68	0.33	0.65	0.65	0.66	0.65	0.29	0.68	0.68	0.69	0.68	0.36
ZeeviD_2015	0.62	0.62	0.62	0.62	0.21	0.61	0.46	0.37	0.61	0.00	0.63	0.61	0.62	0.63	0.19	0.64	0.64	0.64	0.64	0.25	0.61	0.60	0.60	0.61	0.16
PasolliE_2019	0.64	0.63	0.65	0.64	0.28	0.61	0.58	0.70	0.61	0.30	0.68	0.66	0.71	0.68	0.39	0.61	0.61	0.62	0.61	0.23	0.67	0.67	0.67	0.67	0.34
LeeKA_2022	0.54	0.53	0.55	0.54	0.05	0.61	0.60	0.62	0.61	0.20	0.62	0.62	0.62	0.62	0.20	0.67	0.66	0.67	0.67	0.30	0.68	0.67	0.68	0.68	0.32
HansenLBS_2018_B	0.85	0.85	0.86	0.85	0.71	0.68	0.67	0.71	0.68	0.38	0.81	0.80	0.82	0.81	0.62	0.86	0.86	0.88	0.86	0.74	0.88	0.88	0.88	0.88	0.76
