name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
HallAB_2017_A	0.93	0.93	0.93	0.93	0.84	0.89	0.89	0.90	0.89	0.78	0.90	0.90	0.91	0.90	0.78	0.96	0.96	0.96	0.96	0.90	0.95	0.95	0.95	0.95	0.88
PehrssonE_2016_A	0.96	0.96	0.96	0.96	0.91	0.96	0.96	0.97	0.96	0.92	0.95	0.95	0.95	0.95	0.90	0.99	0.98	0.99	0.99	0.97	0.97	0.97	0.97	0.97	0.95
HallAB_2017_B	0.94	0.94	0.94	0.94	0.87	0.88	0.88	0.89	0.88	0.75	0.91	0.91	0.92	0.91	0.81	0.96	0.96	0.96	0.96	0.90	0.96	0.96	0.96	0.96	0.91
DhakanDB_2019	0.70	0.69	0.74	0.70	0.44	0.72	0.72	0.74	0.72	0.46	0.69	0.68	0.70	0.69	0.38	0.73	0.72	0.74	0.73	0.47	0.69	0.69	0.70	0.69	0.40
PehrssonE_2016_B	0.96	0.96	0.97	0.96	0.93	0.98	0.98	0.99	0.98	0.97	0.98	0.98	0.98	0.98	0.95	0.97	0.97	0.97	0.97	0.94	0.98	0.98	0.98	0.98	0.97
