name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
GhensiP_2019	0.75	0.76	0.77	0.75	0.46	0.68	0.56	0.47	0.68	0.00	0.71	0.63	0.60	0.71	0.15	0.71	0.69	0.72	0.71	0.30	0.78	0.78	0.79	0.78	0.50
XieH_2016	0.58	0.57	0.57	0.58	0.10	0.61	0.47	0.38	0.61	0.00	0.63	0.51	0.45	0.63	0.04	0.61	0.47	0.38	0.61	0.00	0.66	0.66	0.68	0.66	0.32
KeohaneDM_2020A	0.54	0.53	0.55	0.54	0.09	0.54	0.51	0.55	0.54	0.09	0.58	0.57	0.60	0.58	0.17	0.52	0.35	0.27	0.52	0.00	0.71	0.71	0.71	0.71	0.42
KeohaneDM_2020B	0.48	0.48	0.48	0.48	-0.04	0.52	0.35	0.27	0.52	0.00	0.52	0.47	0.59	0.52	0.10	0.52	0.35	0.27	0.52	0.00	0.60	0.59	0.60	0.60	0.20
