name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
TettAJ_2019_c	0.69	0.68	0.70	0.69	0.36	0.77	0.77	0.78	0.77	0.55	0.80	0.79	0.80	0.80	0.59	0.80	0.78	0.79	0.80	0.58	0.76	0.75	0.79	0.76	0.54
FerrettiP_2018	0.91	0.91	0.91	0.91	0.80	0.81	0.80	0.82	0.81	0.59	0.87	0.87	0.87	0.87	0.73	0.87	0.86	0.88	0.87	0.71	0.89	0.89	0.90	0.89	0.78
YassourM_2018	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.98	0.96	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.98	0.96	0.98	0.98	0.98	0.98	0.96
