name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
LiuW_2016	0.57	0.56	0.57	0.57	0.11	0.65	0.64	0.65	0.65	0.27	0.59	0.55	0.54	0.59	0.08	0.68	0.65	0.68	0.68	0.31	0.71	0.70	0.73	0.71	0.41
LiuW_2016	0.52	0.52	0.52	0.52	0.01	0.64	0.62	0.66	0.64	0.26	0.61	0.57	0.60	0.61	0.21	0.66	0.66	0.67	0.66	0.31	0.68	0.66	0.70	0.68	0.35
Obregon-TitoAJ_2015	0.97	0.97	0.98	0.97	0.95	1.00	1.00	1.00	1.00	1.00	0.97	0.97	0.98	0.97	0.95	1.00	1.00	1.00	1.00	1.00	0.97	0.97	0.97	0.97	0.93
