name	HansenLBS_2018	HansenLBS_2018_2
Acc_LRC	0.56	0.52
F1_LRC	0.55	0.51
Prec_LRC	0.56	0.52
Recall_LRC	0.56	0.52
MCC_LRC	0.12	0.04
Acc_DTC	0.52	0.52
F1_DTC	0.48	0.48
Prec_DTC	0.56	0.56
Recall_DTC	0.52	0.52
MCC_DTC	0.07	0.07
Acc_SVC	0.6	0.55
F1_SVC	0.59	0.54
Prec_SVC	0.6	0.55
Recall_SVC	0.6	0.55
MCC_SVC	0.19	0.1
Acc_RFC	0.56	0.53
F1_RFC	0.55	0.53
Prec_RFC	0.56	0.53
Recall_RFC	0.56	0.53
MCC_RFC	0.11	0.07
Acc_HDC	0.63	0.65
F1_HDC	0.63	0.65
Prec_HDC	0.63	0.66
Recall_HDC	0.63	0.65
MCC_HDC	0.26	0.31
