name	LomanNJ_2013
Acc_LRC	0.8
F1_LRC	0.77
Prec_LRC	0.77
Recall_LRC	0.8
MCC_LRC	0.56
Acc_DTC	0.68
F1_DTC	0.55
Prec_DTC	0.47
Recall_DTC	0.68
MCC_DTC	0.0
Acc_SVC	0.76
F1_SVC	0.75
Prec_SVC	0.75
Recall_SVC	0.76
MCC_SVC	0.4
Acc_RFC	0.76
F1_RFC	0.75
Prec_RFC	0.79
Recall_RFC	0.76
MCC_RFC	0.49
Acc_HDC	0.84
F1_HDC	0.8
Prec_HDC	0.82
Recall_HDC	0.84
MCC_HDC	0.56
