name	SchirmerM_2016
Acc_LRC	0.65
F1_LRC	0.64
Prec_LRC	0.65
Recall_LRC	0.65
MCC_LRC	0.3
Acc_DTC	0.59
F1_DTC	0.59
Prec_DTC	0.59
Recall_DTC	0.59
MCC_DTC	0.18
Acc_SVC	0.66
F1_SVC	0.65
Prec_SVC	0.66
Recall_SVC	0.66
MCC_SVC	0.31
Acc_RFC	0.66
F1_RFC	0.66
Prec_RFC	0.67
Recall_RFC	0.66
MCC_RFC	0.33
Acc_HDC	0.65
F1_HDC	0.65
Prec_HDC	0.65
Recall_HDC	0.65
MCC_HDC	0.3
