name	ChngKR_2016
Acc_LRC	0.81
F1_LRC	0.8
Prec_LRC	0.87
Recall_LRC	0.81
MCC_LRC	0.67
Acc_DTC	0.67
F1_DTC	0.66
Prec_DTC	0.67
Recall_DTC	0.67
MCC_DTC	0.33
Acc_SVC	0.67
F1_SVC	0.64
Prec_SVC	0.74
Recall_SVC	0.67
MCC_SVC	0.38
Acc_RFC	0.7
F1_RFC	0.7
Prec_RFC	0.71
Recall_RFC	0.7
MCC_RFC	0.41
Acc_HDC	0.81
F1_HDC	0.8
Prec_HDC	0.83
Recall_HDC	0.81
MCC_HDC	0.63
