name	GhensiP_2019
Acc_LRC	0.63
F1_LRC	0.63
Prec_LRC	0.64
Recall_LRC	0.63
MCC_LRC	0.26
Acc_DTC	0.62
F1_DTC	0.59
Prec_DTC	0.59
Recall_DTC	0.62
MCC_DTC	0.16
Acc_SVC	0.56
F1_SVC	0.54
Prec_SVC	0.53
Recall_SVC	0.56
MCC_SVC	0.05
Acc_RFC	0.62
F1_RFC	0.62
Prec_RFC	0.63
Recall_RFC	0.62
MCC_RFC	0.23
Acc_HDC	0.68
F1_HDC	0.67
Prec_HDC	0.67
Recall_HDC	0.68
MCC_HDC	0.32
