name	MatsonV_2018	MatsonV_2018_2
Acc_LRC	0.62	0.71
F1_LRC	0.56	0.7
Prec_LRC	0.55	0.76
Recall_LRC	0.62	0.71
MCC_LRC	0.1	0.42
Acc_DTC	0.66	0.61
F1_DTC	0.63	0.49
Prec_DTC	0.65	0.46
Recall_DTC	0.66	0.61
MCC_DTC	0.29	0.08
Acc_SVC	0.61	0.61
F1_SVC	0.47	0.47
Prec_SVC	0.38	0.38
Recall_SVC	0.61	0.61
MCC_SVC	0.0	0.0
Acc_RFC	0.66	0.65
F1_RFC	0.63	0.64
Prec_RFC	0.65	0.65
Recall_RFC	0.66	0.65
MCC_RFC	0.23	0.26
Acc_HDC	0.79	0.74
F1_HDC	0.77	0.7
Prec_HDC	0.84	0.71
Recall_HDC	0.79	0.74
MCC_HDC	0.58	0.42
