name	GhensiP_2019
Acc_LRC	0.67
F1_LRC	0.66
Prec_LRC	0.66
Recall_LRC	0.67
MCC_LRC	0.2
Acc_DTC	0.7
F1_DTC	0.57
Prec_DTC	0.49
Recall_DTC	0.7
MCC_DTC	0.0
Acc_SVC	0.78
F1_SVC	0.74
Prec_SVC	0.76
Recall_SVC	0.78
MCC_SVC	0.41
Acc_RFC	0.72
F1_RFC	0.71
Prec_RFC	0.75
Recall_RFC	0.72
MCC_RFC	0.36
Acc_HDC	0.75
F1_HDC	0.75
Prec_HDC	0.75
Recall_HDC	0.75
MCC_HDC	0.42
