name	LeeKA_2022	FrankelAE_2017
Acc_LRC	0.69	0.56
F1_LRC	0.69	0.55
Prec_LRC	0.69	0.65
Recall_LRC	0.69	0.56
MCC_LRC	0.36	0.19
Acc_DTC	0.6	0.64
F1_DTC	0.59	0.64
Prec_DTC	0.59	0.69
Recall_DTC	0.6	0.64
MCC_DTC	0.16	0.3
Acc_SVC	0.62	0.73
F1_SVC	0.6	0.71
Prec_SVC	0.64	0.73
Recall_SVC	0.62	0.73
MCC_SVC	0.22	0.42
Acc_RFC	0.59	0.63
F1_RFC	0.43	0.48
Prec_RFC	0.35	0.39
Recall_RFC	0.59	0.63
MCC_RFC	0.0	0.0
Acc_HDC	0.7	0.78
F1_HDC	0.69	0.77
Prec_HDC	0.71	0.78
Recall_HDC	0.7	0.78
MCC_HDC	0.39	0.53
